Name, Small School,Medium School,Large School,City,Suburban,Town,Rural,Has Greek Life,Catholic,Methodist,Presbyterian,Jewish,Public,Has Student Government,Has a Football Team,Tech/Engineering School,LiberalArtsCollege
St. John's College (Annapolis),Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
St. John's College (Santa Fe),Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Stanford University,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Stevens Institute of Technology,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Swarthmore College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
The College of William and Mary,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
Trinity College,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
Tufts University,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Tulane University of Louisiana,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
UC Berkeley,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
UCLA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
UCSD,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
University of Chicago,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
University of Florida,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
University of Georgia,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University of Illinois at Urbana-Champaign,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University of Maryland (College Park),No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No
University of Massachusetts (Amherst),No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University of Miami,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
University of Michigan,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
University of Minnesota (Twin Cities),No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
University of North Carolina at Chapel Hill,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
University of Notre Dame,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No
University of Pennsylvania,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
University of Richmond,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
University of Rochester,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
University of Southern California,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
University of Virginia (Main Campus),No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University of Wisconsin (Madison),No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Vanderbilt University,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Vassar College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Villanova University,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Washington University in St. Louis,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Washington and Lee University,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
Webb Institute,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Wellesley College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Wesleyan University,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Willamette University,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Williams College,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
Yale University,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
